Date,Details,Amount,Currency,Debit/Credit,Status,Category
28 Feb 2025,Card Payment Received,"18,551.62",INR,Credit,SETTLED
15 Feb 2025,ICICI LOMBARD INSURANCE,137.95,INR,Debit,SETTLED
04 Feb 2025,FLIPKART,110.69,INR,Debit,SETTLED
23 Feb 2025,Card Payment Received,"12,351.42",INR,Credit,SETTLED
05 Oct 2024,DMART,455.00,INR,Debit,SETTLED
14 Jan 2025,OLA CABS,105.84,INR,Debit,SETTLED
22 Nov 2024,Card Payment Received,"9,941.27",INR,Credit,SETTLED
08 Dec 2024,Card Payment Received,"11,584.77",INR,Credit,SETTLED
16 Dec 2024,BIG BAZAAR,146.76,INR,Debit,SETTLED
28 Jan 2025,AMAZON INDIA,220.54,INR,Debit,SETTLED
18 Oct 2024,Card Payment Received,"3,788.46",INR,Credit,SETTLED
16 Nov 2024,RELIANCE SMART,131.56,INR,Debit,SETTLED
25 Oct 2024,HDFC BANK FEE,25.46,INR,Debit,SETTLED
15 Mar 2025,NETFLIX INDIA,57.55,INR,Debit,SETTLED
25 Mar 2025,DMART,259.55,INR,Debit,SETTLED
18 Feb 2025,Card Payment Received,"4,532.98",INR,Credit,SETTLED
23 Mar 2025,RELIANCE SMART,389.93,INR,Debit,SETTLED
04 Mar 2025,Card Payment Received,"8,422.38",INR,Credit,REVERSED
26 Oct 2024,RELIANCE SMART,229.70,INR,Debit,SETTLED
31 Jan 2025,AIR INDIA,"4,986.65",INR,Debit,SETTLED
30 Dec 2024,APPLE.COM BILL,54.88,INR,Debit,SETTLED
17 Mar 2025,Card Payment Received,"4,185.27",INR,Credit,SETTLED
05 Oct 2024,Card Payment Received,"12,325.65",INR,Credit,SETTLED
17 Feb 2025,FLIPKART,415.17,INR,Debit,SETTLED
25 Mar 2025,AIR INDIA,"4,017.20",INR,Debit,SETTLED
23 Oct 2024,AIR INDIA,"2,638.93",INR,Debit,SETTLED
20 Oct 2024,TAJ HOTELS,"1,053.93",INR,Debit,SETTLED
29 Nov 2024,AMAZON INDIA,93.21,INR,Debit,SETTLED
22 Nov 2024,MAKEMYTRIP,"1,045.68",INR,Debit,SETTLED
28 Feb 2025,HDFC BANK FEE,11.67,INR,Debit,SETTLED
18 Dec 2024,BIG BAZAAR,91.64,INR,Debit,SETTLED
24 Jan 2025,AMAZON INDIA,342.46,INR,Debit,SETTLED
20 Dec 2024,HDFC BANK FEE,11.48,INR,Debit,SETTLED
04 Jan 2025,TAJ HOTELS,809.48,INR,Debit,SETTLED
25 Nov 2024,Card Payment Received,"4,948.34",INR,Credit,SETTLED
28 Jan 2025,APPLE.COM BILL,67.16,INR,Debit,SETTLED
29 Nov 2024,Card Payment Received,"19,926.47",INR,Credit,SETTLED
16 Mar 2025,RELIANCE SMART,458.06,INR,Debit,SETTLED
23 Mar 2025,AIR INDIA,"4,488.68",INR,Debit,SETTLED
22 Oct 2024,APPLE.COM BILL,80.09,INR,Debit,SETTLED
19 Dec 2024,MAKEMYTRIP,"1,346.32",INR,Debit,SETTLED
04 Nov 2024,Card Payment Received,"19,922.21",INR,Credit,SETTLED
26 Dec 2024,ICICI LOMBARD INSURANCE,795.51,INR,Debit,SETTLED
22 Mar 2025,ZOMATO INDIA,100.93,INR,Debit,SETTLED
04 Mar 2025,NETFLIX INDIA,33.29,INR,Debit,SETTLED
23 Mar 2025,AMAZON INDIA,88.85,INR,Debit,SETTLED
20 Dec 2024,Card Payment Received,"10,725.22",INR,Credit,SETTLED
14 Nov 2024,RELIANCE SMART,160.68,INR,Debit,SETTLED
29 Dec 2024,AMAZON INDIA,435.43,INR,Debit,SETTLED
12 Jan 2025,Card Payment Received,"3,082.24",INR,Credit,SETTLED
